,Method,Feature Descriptor,k-cluster,Mean Accuracy,Mean Precision,Mean Sensitivity,Mean Specificity,Mean F1-score,Mean AUC
0,SVM,sift,128,84.68,81.16,80.42,100.0,78.92,80.42
1,SVM,sift,256,85.56,84.53,84.58,100.0,84.12,84.58
2,SVM,sift,32,81.35,80.8,70.83,100.0,71.97,70.83
3,SVM,sift,512,84.52,82.96,80.42,100.0,80.82,80.42
4,SVM,sift,64,87.78,88.77,86.67,100.0,85.68,86.67
5,SVM,surf,128,88.73,86.79,83.33,100.0,83.29,83.33
6,SVM,surf,256,80.95,77.77,75.42,100.0,74.04,75.42
7,SVM,surf,64,89.84,89.88,90.0,100.0,88.48,90.0
8,SVM,surf100,128,92.22,91.12,92.0,100.0,91.46,92.0
9,SVM,surf100,256,89.79,88.48,90.34,100.0,88.04,90.34
10,SVM,surf100,64,90.13,89.32,92.42,100.0,89.0,92.42
11,SVM,surf50,128,89.23,88.67,87.84,100.0,87.05,87.84
12,SVM,surf50,256,92.22,92.03,91.2,100.0,91.17,91.2
13,SVM,surf50,512,86.79,84.92,87.84,100.0,85.27,87.84
14,SVM,surf50,64,90.0,89.71,89.09,100.0,88.76,89.09
15,SVM,surf0,1024,87.22,87.06,87.01,100.0,84.98,87.01
16,SVM,surf0,128,88.68,88.29,89.58,100.0,87.12,89.58
17,SVM,surf0,256,89.23,88.07,90.8,100.0,88.15,90.8
18,SVM,surf0,512,89.35,87.89,88.26,100.0,87.01,88.26
19,SVM,surf0,64,87.01,87.04,89.54,100.0,85.94,89.54
20,SVM,orb,128,79.84,80.75,72.92,100.0,72.89,72.92
21,SVM,orb,256,73.17,56.68,62.08,100.0,56.83,62.08
22,SVM,orb,64,78.89,78.91,77.08,100.0,76.36,77.08
23,SVM,brisk,128,71.76,53.65,53.7,99.17,49.1,53.7
24,SVM,brisk,256,72.35,48.97,54.7,100.0,49.72,54.7
25,SVM,brisk,64,72.35,64.01,55.33,100.0,52.54,55.33
26,SVM,kaze,128,84.57,83.85,83.7,100.0,81.23,83.7
27,SVM,kaze,256,80.34,81.85,70.0,100.0,73.99,70.0
28,SVM,kaze,64,78.59,74.6,72.0,100.0,70.94,72.0
29,SVM,akaze,128,73.97,63.72,57.7,100.0,54.91,57.7
30,SVM,akaze,256,73.97,65.35,57.7,100.0,55.25,57.7
31,SVM,akaze,64,73.38,72.19,58.0,100.0,57.81,58.0
